*WEATHER DATA : cell 2178095 years 1980 -- 2010
@ INSI      LAT     LONG  ELEV   TAV   AMP REFHT WNDHT
    CI  47.9583 247.9583   -99   5.0  27.2   -99   -99
@DATE  SRAD  TMAX  TMIN  RAIN
00001   0.9   1.1  -0.7   4.2
00002   0.5   3.3   1.1   9.3
00003   2.1   4.1   2.3   2.9
00004   1.8   3.7   0.0   2.4
00005   2.7   0.1  -4.5   1.7
00006   1.3   0.5  -3.7   4.0
00007   4.8   1.6   0.2   1.0
00008   2.3   1.1  -7.7   1.1
00009   2.1   1.0  -3.4   3.2
00010   5.1   1.2  -4.3   4.1
00011   3.7  -3.2  -6.9   1.1
00012   2.6  -4.6  -8.4   1.8
00013   5.7  -6.3 -21.1   1.5
00014   2.8  -5.3 -14.6   1.3
00015   5.8  -1.3  -6.6   1.0
00016   6.0  -2.8  -6.6   0.3
00017   7.0  -2.5 -14.8   0.0
00018   7.3   1.1  -9.4   0.0
00019   6.9   1.6  -5.3   0.0
00020   3.0   1.3  -5.0   1.9
00021   2.3  -2.1  -5.4   2.5
00022   0.6   0.4  -3.6   2.2
00023   3.7   0.5  -3.3   0.4
00024   4.3   0.3  -5.1   1.3
00025   6.1   0.2  -7.2   0.6
00026   5.3  -0.6  -4.9   1.0
00027   5.5  -4.5 -11.0   2.5
00028   2.7  -5.8 -12.1   2.9
00029   2.9 -11.8 -20.3   2.9
00030   8.5 -20.1 -41.6   0.7
00031   8.4 -25.6 -42.7   0.0
00032   2.1 -15.6 -29.3   1.5
00033   1.4 -11.1 -27.1   3.3
00034   3.8   2.5 -11.1   6.4
00035   2.8   2.6  -2.2   9.5
00036   3.6   3.2   0.7   8.9
00037   6.0   3.1   0.7   1.3
00038   5.3   1.0  -2.5   0.9
00039   5.6   1.9  -1.5   0.9
00040   6.1   1.6  -2.0   0.5
00041   7.1   3.7  -3.5   0.2
00042   5.3   3.5   1.2   2.5
00043   1.3   1.6  -3.2   4.7
00044   1.2  -3.1 -11.8   9.2
00045   4.6  -9.9 -14.7   5.1
00046   5.7   1.1 -10.0   1.1
00047   4.7   0.9  -1.8   0.7
00048  11.1   1.2  -4.5   0.1
00049   5.1   1.2  -2.0   0.5
00050   1.1   0.4  -4.8   6.1
00051   5.6  -4.5 -19.9   4.6
00052  11.7  -9.6 -29.8   0.2
00053   7.3  -9.6 -17.4   2.1
00054   3.4 -10.2 -19.1   1.0
00055   6.3  -5.8 -10.4   1.2
00056  10.0  -5.6 -19.5   0.2
00057  13.5  -2.6 -24.5   0.3
00058   6.7   0.8  -7.7   1.1
00059   2.0   0.8  -1.1   2.9
00060   8.2   1.1  -1.1   0.9
00061   9.8   1.2  -4.6   0.2
00062  14.8   1.9  -6.7   0.0
00063   6.5   1.9  -2.8   1.4
00064  13.1  -0.7  -7.4   1.0
00065  15.6   2.6  -6.8   0.0
00066   9.9   2.6  -4.7   0.3
00067   6.4  -2.9  -8.1   1.4
00068   6.5  -0.8  -4.0   4.6
00069   3.7   1.3  -6.5   1.9
00070   7.2   3.9   0.7   1.1
00071  11.1   7.2   1.5   0.5
00072  14.9   8.9   1.2   0.1
00073  12.3   8.7   0.8   0.4
00074  13.3  10.7  -0.2   0.0
00075  16.2  14.0   2.2   0.2
00076   3.3  13.3  -2.9   7.8
00077   5.2   0.9 -10.5   2.6
00078   2.6   1.2  -0.6   6.2
00079   4.5   0.1  -4.4   2.2
00080   7.2  -3.7  -9.5   0.8
00081  14.9  -0.1 -10.5   0.2
00082  15.0   3.3  -3.5   0.3
00083   7.6   2.9  -2.4   2.6
00084  13.9   3.0  -3.9   0.1
00085  19.1   5.8  -1.3   0.0
00086  15.3   5.5  -0.8   0.1
00087  12.7   3.9  -1.4   0.2
00088  18.2   4.6  -1.9   0.1
00089  11.7   6.8  -0.4   0.6
00090   7.3   6.9   2.1   1.4
00091  12.4   4.8  -0.8   0.2
00092  21.8  10.3  -1.3   0.0
00093  21.3  12.5   0.2   0.0
00094  19.7  13.4   0.4   0.0
00095  10.3  12.9   3.3   2.9
00096  13.4   4.4   0.1   1.4
00097  14.4   3.4  -2.5   0.8
00098  13.9   2.9  -2.3   2.5
00099  10.1   4.9  -1.2   1.6
00100  13.5   2.6  -2.5   1.1
00101   4.8   1.7  -0.3   2.8
00102   3.3   2.1   0.3   4.9
00103  13.1   2.3  -1.8   4.1
00104  14.3  -0.1  -5.1   3.7
00105   7.0  -2.2  -8.1   5.5
00106  13.2  -2.9  -7.0   1.7
00107  13.8   1.0  -7.7   3.1
00108  13.5  -3.2  -9.8   2.3
00109  14.2  -6.3 -14.5   0.6
00110   3.0   0.0  -7.3   1.5
00111  23.5   7.4  -4.1   0.1
00112  19.7   7.1  -0.9   0.1
00113  26.3  14.3   0.0   0.0
00114  26.9  17.6   1.3   0.0
00115  26.9  20.4   3.8   0.0
00116  27.1  21.9   5.5   0.0
00117  24.6  22.0   7.9   0.4
00118  25.6  17.0   1.6   0.3
00119  26.4  20.0   2.7   0.0
00120  19.5  19.5   7.8   0.9
00121  18.0  11.6   2.5   0.5
00122  23.8  15.0   3.2   0.3
00123  27.4  24.1   4.9   0.0
00124  18.2  24.1   8.0   0.2
00125  15.6  17.3   5.0   2.2
00126  12.1   8.2   1.3   3.6
00127  17.4   4.7  -1.4   1.3
00128  26.7  10.6  -2.2   0.1
00129   5.6  10.7   2.9   3.9
00130  13.4   5.4   1.0   1.3
00131  22.4  10.8   0.8   0.3
00132  28.3  18.4   2.9   0.1
00133  29.8  22.5   8.9   0.0
00134  30.6  20.4   0.5   0.0
00135  30.5  17.7   2.2   0.0
00136  27.7  24.1  10.0   0.0
00137  31.1  23.5   6.7   0.0
00138  28.5  18.1   2.6   0.0
00139  28.8  18.4   5.0   0.0
00140  23.1  14.5   3.5   0.0
00141  31.3  12.7  -0.3   0.0
00142  32.0  18.2   2.8   0.0
00143  30.4  22.6   6.0   0.0
00144  14.0  22.6   9.4   1.6
00145  13.3  16.1   7.0   1.4
00146  20.3  12.6   2.6   0.5
00147  13.1  12.6   5.0   3.0
00148  23.9   9.0   2.0   0.4
00149  31.5  16.2  -0.5   0.0
00150  32.6  22.2   4.7   0.0
00151  32.0  22.4   7.1   0.0
00152  29.6  22.5  10.2   0.0
00153  11.0  22.5   4.6   4.6
00154   2.5   4.7   0.2  11.0
00155   8.4   7.9   1.4   2.2
00156  10.6   8.7   5.1   3.6
00157  17.8  11.0   4.7   0.5
00158  26.4  19.7   3.4   0.0
00159  18.8  19.7   8.3   1.4
00160  31.9  23.1   3.5   0.0
00161  32.2  23.7  10.8   0.0
00162  21.8  21.5   7.6   0.2
00163   9.0  15.1   6.5   3.2
00164  21.0  13.6   4.4   1.3
00165  17.8  14.4   4.6   0.6
00166  19.2  14.9   5.8   1.0
00167  32.4  27.3   6.0   0.0
00168  32.7  27.8  13.7   0.0
00169  31.8  25.0   9.0   0.0
00170  31.5  29.7  13.3   0.0
00171  25.3  29.5  11.2   0.2
00172  32.5  23.0   5.1   0.0
00173  33.5  29.8  10.8   0.0
00174  33.4  31.0  12.7   0.0
00175  21.1  31.2  17.8   0.0
00176  29.6  32.3  18.0   0.2
00177  33.0  31.9  15.6   0.0
00178  33.3  29.5  14.1   0.0
00179  32.8  29.4  15.6   0.0
00180  32.9  27.1  13.5   0.0
00181  32.7  26.8  10.5   0.0
00182  30.7  31.0  14.7   0.0
00183  32.0  30.9  15.9   0.0
00184  29.7  34.0  15.0   0.0
00185  30.7  33.5  14.8   0.0
00186  32.2  27.3  12.6   0.2
00187  31.6  31.0  12.2   0.1
00188  32.0  31.4  16.5   0.0
00189  29.9  23.6   7.3   0.0
00190  33.1  24.0   5.5   0.0
00191  32.5  24.3   8.9   0.0
00192  32.5  23.9   8.4   0.0
00193  30.3  23.9   6.2   0.0
00194  30.0  18.2   6.7   0.0
00195  32.1  22.3   6.9   0.0
00196  32.2  27.7  10.4   0.0
00197  31.8  29.1  11.6   0.0
00198  31.6  31.5  14.2   0.0
00199  28.8  31.5  15.5   0.0
00200  27.2  25.0  13.1   0.9
00201  30.0  24.3  12.8   0.6
00202  30.8  27.1  13.8   0.0
00203  25.6  27.5  15.2   0.0
00204  29.5  29.3  12.7   0.1
00205  29.3  29.4  17.4   0.0
00206  29.0  27.0  13.0   0.0
00207  29.9  30.7  14.3   0.0
00208  19.9  30.7  15.8   0.1
00209  25.0  25.0  10.7   0.1
00210  28.9  21.4   8.4   0.0
00211  30.1  25.7  10.0   0.0
00212  29.5  30.7  13.7   0.0
00213  29.1  35.2  17.8   0.0
00214  29.6  35.4  16.9   0.0
00215  29.3  34.6  16.2   0.0
00216  29.5  30.7  15.0   0.0
00217  29.5  30.5  14.5   0.0
00218  29.1  28.2  11.8   0.0
00219  28.8  27.3  12.0   0.0
00220  28.9  26.1  11.4   0.0
00221  27.3  27.2  14.0   0.1
00222  27.8  30.5  13.9   0.5
00223  14.3  30.5  18.6   4.1
00224  27.0  27.5  11.5   2.0
00225  26.1  27.5  11.0   0.0
00226  27.5  25.0   9.8   0.0
00227  27.7  24.4   8.8   0.0
00228  27.5  26.1  10.7   0.0
00229  27.3  26.5   9.1   0.0
00230  27.1  26.1  12.6   0.0
00231  22.3  22.1   5.8   0.1
00232  26.7  21.3   7.9   0.0
00233  25.2  21.2   7.0   0.0
00234  18.0  20.1   7.6   0.2
00235  17.4  16.2   6.6   0.7
00236  23.7  17.3   4.2   0.1
00237  23.8  17.3   4.5   0.1
00238  18.1  16.2   6.1   0.0
00239  17.8  16.2   4.7   0.1
00240  25.4  18.3   3.1   0.0
00241  25.0  22.4   6.3   0.0
00242  24.3  28.2   9.3   0.0
00243  15.8  28.2  14.3   0.0
00244  22.1  24.8   7.0   0.0
00245  23.4  23.0   7.4   0.0
00246  23.6  23.0   6.9   0.0
00247  21.8  21.3   6.0   0.1
00248  22.5  21.3   6.9   0.1
00249  21.4  18.5   5.2   0.1
00250  22.4  25.7   8.3   0.0
00251  20.2  25.6   9.9   1.8
00252  22.0  24.4   9.1   1.3
00253  22.1  26.4   9.3   0.5
00254  17.0  26.3  10.8   0.0
00255  19.7  18.3   5.4   0.2
00256   9.6  14.8   6.2   1.5
00257  14.3  11.7   5.7   0.3
00258  21.0  20.4   2.8   0.0
00259  20.2  25.2   6.2   0.0
00260  19.4  27.9  10.0   0.0
00261  14.4  27.7  10.8   0.0
00262   4.6  18.9   6.0   4.5
00263  17.1  10.2   1.8   2.8
00264  16.8  13.9   1.2   0.1
00265  19.1  15.1   2.5   0.0
00266  18.8  18.1   3.4   0.0
00267  18.1  21.9   7.0   0.0
00268  16.8  21.9   6.1   0.0
00269  18.9  23.2   4.6   0.0
00270  18.3  27.3  10.0   0.0
00271  18.2  26.3   7.1   0.0
00272  17.3  24.0   6.7   0.0
00273  17.2  26.3   9.0   0.0
00274  15.6  26.3  10.8   0.0
00275  17.2  25.3   8.5   0.0
00276  13.4  25.0   8.5   0.0
00277   8.8  17.9   7.1   1.7
00278   9.0   9.9   1.7   1.0
00279   9.9  11.6   6.9   1.3
00280   9.7   9.9   0.4   1.9
00281   8.6   2.1  -2.1   1.3
00282   4.7   3.6  -2.8   2.1
00283  10.6  13.0   3.0   0.5
00284  14.9  18.5   4.0   0.0
00285  11.2  18.6   4.3   0.0
00286   5.6  18.0   5.9   0.4
00287  10.8  12.8   4.2   0.3
00288   1.6  12.7   1.9   5.5
00289   2.1   6.6   1.7   2.9
00290   4.8   6.7   2.7   1.1
00291   5.2   9.5   4.4   1.0
00292   4.2   8.9   4.4   2.7
00293   7.0   8.8   5.6   1.2
00294   3.7   7.3   2.5   1.9
00295   8.1   9.3   0.2   6.7
00296   8.0   4.5  -0.4   0.5
00297   4.9   4.7   0.2   0.8
00298   5.3   4.5   1.8   7.0
00299   5.1   2.2  -0.6   4.1
00300   3.7   2.7  -1.4   2.3
00301   4.1   2.7   0.9   1.3
00302   3.5   2.6  -1.0   1.7
00303   5.4   2.6  -3.1   5.1
00304   3.7   1.0  -4.8   3.7
00305   7.3   0.6  -1.7   3.3
00306   6.8  -0.1  -4.7   2.6
00307   5.2  -0.5  -6.3   0.9
00308   2.7  -0.2  -6.3   1.6
00309   1.5   0.7  -0.2   2.9
00310   1.7   2.4  -0.1  11.2
00311   5.7   0.0  -7.6   4.2
00312   5.4  -5.1 -12.3   1.2
00313   5.9 -10.6 -17.6   0.9
00314   7.7  -4.6 -16.8   0.2
00315   6.8  -2.9 -11.4   0.2
00316   3.0  -1.4  -7.0   1.0
00317   2.0   1.7  -2.2   5.8
00318   0.7   2.1   1.2   2.7
00319   2.0   3.5   1.8   7.5
00320   1.8   4.0   2.9   4.3
00321   2.5   3.4   1.5   2.5
00322   2.1   2.3   0.4   1.6
00323   3.1   2.8  -0.2   0.2
00324   4.5   3.3  -0.8   3.1
00325   0.6   1.7  -4.6   6.0
00326   3.9   4.2  -1.7   3.2
00327   3.2  -1.7 -10.7   3.0
00328   7.7  -9.5 -16.6   0.2
00329   3.0  -1.5 -10.7   6.5
00330   3.6  -1.9  -6.4   3.5
00331   1.8  -1.8  -9.0   1.9
00332   3.8   0.4  -2.2   0.5
00333   6.0   1.3  -1.7   0.6
00334   5.2  -0.4  -7.2   0.2
00335   5.9  -2.7  -9.7   0.1
00336   3.6  -0.6  -7.0   0.2
00337   3.1   0.6  -2.2   1.9
00338   2.6  -0.3  -3.7   2.0
00339   2.0   0.3  -3.4   1.9
00340   3.2   0.3  -3.1   0.3
00341   6.6   0.8  -7.3   0.0
00342   5.7  -1.1  -9.8   0.0
00343   2.8  -4.2  -9.8   0.5
00344   3.9   0.3  -8.2   0.6
00345   5.5   0.5  -2.5   2.1
00346   0.5   1.0  -3.6   7.3
00347   4.7  -3.6 -14.5   1.0
00348   1.8   1.3 -11.4   2.7
00349   2.0   2.0  -3.9   2.6
00350   1.9  -0.4  -5.7   3.0
00351   3.0  -0.8  -9.1   3.9
00352   4.5  -7.6 -11.7   0.3
00353   3.1  -3.2 -11.3   0.3
00354   3.7   0.9  -3.2   0.7
00355   2.6   0.7  -3.2   0.7
00356   4.1  -1.0  -6.8   0.6
00357   4.5  -1.0  -5.4   0.3
00358   4.3   0.6  -7.6   0.0
00359   4.7  -0.6 -10.0   0.6
00360   3.3  -2.1  -7.8   4.0
00361   1.1  -7.7 -19.2   6.1
00362   2.7 -18.7 -29.1   4.0
00363   6.5 -26.2 -40.2   0.4
00364   3.3 -16.8 -35.8   0.8
00365   5.4 -14.0 -21.5   0.8
01001   3.3  -8.5 -14.4   3.9
01002   5.8  -9.2 -17.6   0.3
01003   2.2  -4.7 -14.4   1.0
01004   1.4   0.9  -4.7   3.3
